name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn080831053,3.902537238730734e-06,5.571610226271248,0.576,plaw,[1.403205]
bn141011282,6.65527536932161e-06,18.45352308285459,0.08,comp,"[-0.6444664, 614.1506]"
bn090927422,2.3778258406910913e-06,5.197689796354085,0.512,plaw,[1.530408]
bn150118927,4.841256460035596e-06,17.278630242911465,0.288,comp,"[-1.041165, 672.6705]"
bn150412931,1.6894647498026266e-06,4.079542323380114,0.64,comp,"[-0.2993239, 570.0925]"
bn080723913,9.435581515444458e-07,4.412365839451427,0.192,comp,"[-0.5945316, 320.8395]"
bn130325005,2.8446116642254787e-06,7.269031848748188,0.64,plaw,[1.577079]
bn120811014,1.1562939323576781e-05,13.087020313403075,0.448,comp,"[-0.2913616, 1261.286]"
bn111001804,3.4847841473201643e-06,4.263837866430446,0.384,plaw,[1.356429]
bn091224373,8.75651827187935e-06,6.67300678602336,0.768,plaw,[1.20653]
bn090617208,5.620805752401871e-06,11.837152280645057,0.192,comp,"[-0.3540218, 681.0817]"
bn090405663,3.978019090773316e-06,7.6247517451912605,0.448,comp,"[-0.6396907, 931.821]"
bn160411062,2.4854700500197835e-06,6.067170876885757,0.672,plaw,[1.56337]
bn120609580,1.8480854802320165e-06,4.676272222115803,1.792,plaw,[1.574127]
bn101216721,9.366006479919954e-07,8.637438120407946,1.917,comp,"[-0.8634751, 152.902]"
bn170506169,4.166133580475353e-06,7.866750494100488,0.832,comp,"[-0.6169903, 928.6597]"
